Oportunitats;ID;Grau;Universitat;Poblacio;Plaçes orientatives;Nota;Anàlisi Musical (*);Arts Escèniques (*);Biologia;Ciències Generals (*);Cor i tècnica Vocal (*);Dibuix Artístic;Dibuix Tècnic;Dibuix Tècnic aplicat a les Arts;Disseny;Física;Fonaments Artístics (Historia de l'Art);Funcionament de l’Empresa i Models de Negoci (Empresa);Geografia;Geologia i Ciències Ambientals (*);Història de la Música i de la Dansa (*);Història de l'Art;Literatura Castellana (*);Literatura Catalana (*);Literatura Dramàtica (*);Llengua i Cultura Gregues (Grec) (*);Llengua i Cultura Llatines (Llatí) (*);Matemàtiques;Matemàtiques Aplicades;Moviments culturals i artístics (*);Química;Tècniques d’Expressió Graficoplàstica (*);Tecnologia
8;41029;"Administració d'Empreses i Gestió de la Innovació ""Tecnocampus""";UPF;Mataró;70;7,424;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;;;0,2;0,2;;0,2;;
8;41036;"Administració d'Empreses i Gestió de la Innovació ""Tecnocampus"" (Docència en Anglès)";UPF;Mataró;35;5,154;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;;;0,2;0,2;;0,2;;
9;41041;"Administració d'Empreses i Gestió de la Innovació / Màrqueting i Comunitats Digitals ""Tecnocampus"" (Simultaneïtat)";UPF;Mataró;60;6,313;0,2;0,2;0,2;;0,2;0,2;;0,2;0,2;0,2;0,2;0,2;0,2;;;0,2;;;;0,2;0,2;0,2;0,2;0,2;0,2;0,2;
9;41035;"Administració d'Empreses i Gestió de la Innovació / Turisme i Gestió del Lleure ""Tecnocampus"" (Simultaneïtat)";UPF;Mataró;40;5;0,1;0,1;0,2;0,2;0,1;;;;;0,2;0,2;0,2;0,2;;;0,2;;;;0,2;0,2;0,2;0,2;0,2;0,2;;
8;11033;Administració i Direcció d'Empreses;UB;Barcelona;780;9,194;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;;;0,2;0,2;;0,2;;
8;21014;Administració i Direcció d'Empreses;UAB;Cerdanyola del Vallès;160;9,8;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;;;0,2;0,2;;0,2;;
8;21099;Administració i Direcció d'Empreses (Docència en Anglès);UAB;Cerdanyola del Vallès;70;10,01;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;;;0,2;0,2;;0,2;;
8;61077;"Administració i Direcció d'Empreses i Transformació de Negocis ""Centre Universitari EAE""";UdL;Barcelona;150;5;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;;;0,2;0,2;;0,2;;
8;41008;Administració i Direcció d'Empreses;UPF;Barcelona;170;10,912;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;;;0,2;0,2;;0,2;;
8;61003;Administració i Direcció d'Empreses;UdL;Lleida;120;7,666;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;;;0,2;0,2;;0,2;;
8;61069;Administració i Direcció d'Empreses (Igualada);UdL;Igualada;40;8,122;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;;;0,2;0,2;;0,2;;
8;81003;Administració i Direcció d'Empreses;UdG;Girona;100;9,162;;;0,2;;;;;;;0,2;;0,2;0,2;;;;;;;;;0,2;0,2;;0,2;;
